"BranchBaryNodeID","BranchNodeID","ClusterID","CriticalType","NodeId","Persistence","PersistenceBarycenter","Points:0","Points:1","Points:2","Scalar","TreeID","VertexId","isDummyNode","isImportantPair"
0,0,0,0,0,1.5015,1.5014,-1.4989,0.0010925,0,0.0010925,0,256,0,1
1,1,0,2,2,0.61838,0.6288,-0.99891,0.58454,0,0.58454,0,35050,0,1
1,1,0,2,2,0.61838,0.6288,-1.4989,0.58454,0,0.58454,0,35050,1,1
2,2,0,2,4,0.14003,0.078407,-1.2489,0.98789,0,0.98789,0,48701,0,1
2,2,0,2,4,0.14003,0.078407,-1.4989,0.98789,0,0.98789,0,48701,1,1
1,1,0,3,6,0.61838,0.6288,-0.99891,1.2029,0,1.2029,0,16512,0,1
1,1,0,3,6,0.61838,0.6288,-0.99891,1.2029,0,1.2029,0,16512,1,1
0,0,0,3,8,1.5015,1.5014,-1.4989,1.5026,0,1.5026,0,49279,0,1
0,0,0,3,8,1.5015,1.5014,-1.4989,1.5026,0,1.5026,0,49279,1,1
2,2,0,3,10,0.14003,0.078407,-1.2489,1.1279,0,1.1279,0,48927,0,1
2,2,0,3,10,0.14003,0.078407,-1.2489,1.1279,0,1.1279,0,48927,1,1
